name,id,date,defect1,defect2,defect3,defect4,defect5,defect6,defect7,defect8,defect9,defect10,defect11,defect12
743eddce-2579-4ae5-8d35-2d3b4f98fbbf, df5c22fb-add6-4a44-9e96-86179f024741, 2022-03-30 05:49:06.492811+00:00, broken x 2,tailing x 18,Oval x 15,Diameter x 8,Diameter_1_1_57.57 x 1,Diameter_1_2_50.34 x 1,Diameter_2_1_51.55 x 1,Diameter_2_2_50.34 x 1,Diameter_2_3_51.07 x 1,Diameter_2_6_50.83 x 1,Diameter_3_1_50.58 x 1,Diameter_3_3_51.31 x 1 
e1c81064-9488-4cf8-9e8f-0fa7620d1129, 0b2f3177-7828-4527-8da5-d039291ef119, 2022-03-30 05:49:09.000024+00:00, broken x 3,tailing x 18,Oval x 14,Diameter x 8,Diameter_1_1_50.58 x 1,Diameter_1_6_50.58 x 1,Diameter_2_1_56.85 x 1,Diameter_2_5_45.53 x 1,Diameter_3_2_50.58 x 1,Diameter_3_3_40.47 x 1,Diameter_3_5_6.26 x 1,Diameter_3_6_50.83 x 1 
79595dd0-f937-418b-85a1-9ee5e0381113, df5c22fb-add6-4a44-9e96-86179f024741, 2022-03-30 05:49:07.088350+00:00, broken x 2,tailing x 18,Oval x 13,Diameter x 7,Diameter_1_1_60.7 x 1,Diameter_2_1_50.58 x 1,Diameter_2_2_50.34 x 1,Diameter_2_5_51.07 x 1,Diameter_2_6_51.07 x 1,Diameter_3_1_50.1 x 1,Diameter_3_5_51.07 x 1 ,
a336d2ba-03ef-4ca6-a086-60c1227582e5, 0b2f3177-7828-4527-8da5-d039291ef119, 2022-03-30 05:49:09.581911+00:00, tailing x 18,broken x 2,Oval x 13,Diameter x 7,Diameter_1_1_60.7 x 1,Diameter_2_1_50.58 x 1,Diameter_2_2_50.34 x 1,Diameter_2_5_51.07 x 1,Diameter_2_6_51.07 x 1,Diameter_3_1_50.1 x 1,Diameter_3_5_51.07 x 1 ,
24494ea4-7186-4208-93f2-e46d042aa678, 1a74c1bd-7d51-422a-93e9-89b31f93f979, 2022-03-30 05:49:12.076726+00:00, broken x 2,tailing x 18,Oval x 13,Diameter x 7,Diameter_1_1_60.7 x 1,Diameter_2_1_50.58 x 1,Diameter_2_2_50.34 x 1,Diameter_2_5_51.07 x 1,Diameter_2_6_51.07 x 1,Diameter_3_1_50.1 x 1,Diameter_3_5_51.07 x 1 ,
a6b230a6-ae48-4da9-8c40-9b8c5cca55f3, 0b2f3177-7828-4527-8da5-d039291ef119, 2022-03-30 05:49:10.176412+00:00, broken x 2,tailing x 18,Oval x 13,Diameter x 7,Diameter_1_1_60.7 x 1,Diameter_2_1_50.58 x 1,Diameter_2_2_50.34 x 1,Diameter_2_5_51.07 x 1,Diameter_2_6_51.07 x 1,Diameter_3_1_50.1 x 1,Diameter_3_5_51.07 x 1 ,
d34e26ad-4bde-4ccb-9226-7de8d29075dd, 1a74c1bd-7d51-422a-93e9-89b31f93f979, 2022-03-30 05:49:12.633303+00:00, broken x 2,tailing x 18,Oval x 13,Diameter x 7,Diameter_1_1_60.7 x 1,Diameter_2_1_50.58 x 1,Diameter_2_2_50.34 x 1,Diameter_2_5_51.07 x 1,Diameter_2_6_51.07 x 1,Diameter_3_1_50.1 x 1,Diameter_3_5_51.07 x 1 ,
32c39da1-33eb-4b22-a9f0-45dfebe2491c, 05d451dd-b382-4dc4-b79b-51b97db31d3e, 2022-03-30 05:49:14.851218+00:00, creamout x 2,broken x 10,Oval x 9,Diameter x 6,Diameter_1_1_50.1 x 1,Diameter_1_4_43.84 x 1,Diameter_2_2_45.29 x 1,Diameter_2_3_45.77 x 1,Diameter_2_5_51.07 x 1,Diameter_2_6_45.77 x 1 ,,
7795d25c-29d4-4d50-bb20-4c541d375bae, 1a74c1bd-7d51-422a-93e9-89b31f93f979, 2022-03-30 05:49:13.068611+00:00, broken x 3,tailing x 18,Oval x 14,Diameter x 8,Diameter_1_1_50.58 x 1,Diameter_1_6_50.58 x 1,Diameter_2_1_56.85 x 1,Diameter_2_5_45.53 x 1,Diameter_3_2_50.58 x 1,Diameter_3_3_40.47 x 1,Diameter_3_5_6.26 x 1,Diameter_3_6_50.83 x 1 
12b9fff1-bb68-48d2-af51-ce68bf68443a, 05d451dd-b382-4dc4-b79b-51b97db31d3e, 2022-03-30 05:49:15.318601+00:00, broken x 3,tailing x 18,Oval x 14,Diameter x 8,Diameter_1_1_50.58 x 1,Diameter_1_6_50.58 x 1,Diameter_2_1_56.85 x 1,Diameter_2_5_45.53 x 1,Diameter_3_2_50.58 x 1,Diameter_3_3_40.47 x 1,Diameter_3_5_6.26 x 1,Diameter_3_6_50.83 x 1 
927db5a5-2282-4caf-ae19-fb44372edae3, 855216d0-8a42-4403-b376-967c83870322, 2022-03-30 05:49:18.000141+00:00, broken x 2,tailing x 18,Oval x 15,Diameter x 8,Diameter_1_1_57.57 x 1,Diameter_1_2_50.34 x 1,Diameter_2_1_51.55 x 1,Diameter_2_2_50.34 x 1,Diameter_2_3_51.07 x 1,Diameter_2_6_50.83 x 1,Diameter_3_1_50.58 x 1,Diameter_3_3_51.31 x 1 
6e375f7f-ac68-4829-b89d-c5f580198308, 05d451dd-b382-4dc4-b79b-51b97db31d3e, 2022-03-30 05:49:16.066362+00:00, tailing x 18,broken x 3,Oval x 14,Diameter x 8,Diameter_1_1_50.58 x 1,Diameter_1_6_50.58 x 1,Diameter_2_1_56.85 x 1,Diameter_2_5_45.53 x 1,Diameter_3_2_50.58 x 1,Diameter_3_3_40.47 x 1,Diameter_3_5_6.26 x 1,Diameter_3_6_50.83 x 1 
775584e0-4b57-455b-9874-4b3d80a0bae8, 855216d0-8a42-4403-b376-967c83870322, 2022-03-30 05:49:18.489195+00:00, broken x 2,tailing x 18,Oval x 13,Diameter x 7,Diameter_1_1_60.7 x 1,Diameter_2_1_50.58 x 1,Diameter_2_2_50.34 x 1,Diameter_2_5_51.07 x 1,Diameter_2_6_51.07 x 1,Diameter_3_1_50.1 x 1,Diameter_3_5_51.07 x 1 ,
